ZIP,Mean_Income,Estimated PV System Size (kWdc),PV System Size (kWac),Estimated Annual PV Energy Production (kWh)
14850,91667,24052.04,18794.27,28232810
14858,78322,18.94,16.18,22222
14859,70380,42.65,36.44,50049
14860,65368,465.45,393.44,546355
14861,59112,5553.31,4032.06,6518688
14864,68839,740.01,537.0,868653
14865,57034,132.57,113.3,155605
14867,82780,14496.08,10597.81,17016053
14869,71825,234.81,197.7,275628
14870,107575,551.15,465.44,646967
14871,78261,225.19,192.46,264320
14872,70876,19.19,16.4,22524
14873,59933,378.23,319.76,443987
14874,90930,10.41,8.9,12223
14877,76219,13.58,11.6,15931
14878,114483,140.32,119.24,164703
14879,77680,307.7,258.72,361193
14880,54480,35.56,30.38,41723
14881,105761,106.68,91.17,125210
14882,123572,10487.96,7689.67,12311117
14883,79777,29946.47,21824.63,35152338
14884,78225,16.38,14.0,19228
14885,72553,13800.0,10000.0,16198992
14886,89178,5036.71,3942.5,5912260
14889,71677,214.91,182.81,252272
14891,69137,8436.89,6182.94,9903545
14892,70279,16.01,13.68,18788
14894,72699,75.58,64.6,88721
14895,78324,7086.75,5159.62,8318711
14898,67776,32.76,28.0,38454
14901,51814,817.83,688.74,959990
14903,100790,711.16,601.86,834775
14904,63579,20.88,17.85,24515
14905,90476,113.9,97.33,133673
