ZIP,Mean_Income,Estimated PV System Size (kWdc),PV System Size (kWac),Estimated Annual PV Energy Production (kWh)
12036,54106,15.6,13.33,18307
12037,97248,1021.38,867.99,1198886
12040,68482,46.18,39.46,54194
12041,137031,51.56,44.06,60512
12042,112376,84.41,72.15,99090
12043,82534,1498.65,1271.71,1759200
12045,69095,69.6,59.48,81692
12046,82046,181.65,155.26,213235
12047,85670,4411.22,3581.31,5178087
12051,83945,15507.93,11352.48,18203799
12052,96181,265.64,227.04,311808
12053,108293,3759.86,2855.78,4413484
12054,137181,7214.31,5501.65,8468484
12056,111579,787.62,672.35,924560
12057,88505,277.68,237.35,325954
12058,77498,268.53,229.51,315208
12059,101353,531.83,454.57,624288
12060,138780,705.94,598.42,828681
12061,133756,3106.98,2637.97,3647054
12062,88184,320.41,273.86,376105
12063,103566,201.06,171.86,236025
12064,52894,32.95,28.16,38668
12065,131456,6376.09,5239.7,7484576
12066,95921,533.45,455.16,626179
12067,120798,412.22,352.33,483886
12068,85495,347.43,296.96,407840
12069,108595,23.39,19.99,27454
12070,78661,7044.29,5123.33,8268877
12071,72644,16.28,13.91,19104
12072,80279,14212.52,10355.68,16683204
12074,93829,757.5,646.71,889210
12075,98381,19395.17,14197.47,22766819
12076,71820,162.33,138.75,190548
12077,140356,4099.53,3140.28,4812250
12078,61096,37567.54,27522.06,44098279
12083,97800,17244.62,12588.6,20242401
12084,98910,207.16,177.08,243172
12085,30794,791.95,665.6,929623
12086,75344,379.82,324.09,445878
12087,88985,8855.84,6451.78,10395325
12090,74261,2008.19,1698.07,2357329
12092,79317,209.24,178.82,245590
12093,83729,72.58,62.05,85213
12094,103672,694.49,587.7,815214
12095,76248,23511.97,17198.39,27599299
12106,110068,535.55,456.88,628650
12110,106936,6187.38,5245.44,7262917
12115,134129,76.15,65.09,89390
12116,122507,69.69,59.56,81798
12117,107998,430.96,365.78,505874
12118,107823,10829.32,8241.86,12711911
12120,95820,2920.91,2137.53,3428678
12121,112457,483.68,413.43,567785
12122,71225,660.78,564.8,775656
12123,107706,1219.22,1041.33,1431180
12124,76046,97.24,83.12,114156
12125,72590,296.29,253.22,347772
12130,82837,204.04,174.4,239519
12131,55303,78.3,66.42,91920
12132,112790,129.01,110.27,151437
12134,78570,389.56,332.96,457275
12136,164196,359.38,306.64,421858
12137,102130,3941.4,2920.03,4626596
12138,78189,578.72,494.04,679312
12139,72040,17.45,14.91,20480
12140,107320,405.73,345.37,476289
12143,95670,1580.29,1338.95,1855029
12144,96012,5066.58,4305.34,5947387
12147,90212,175.75,150.2,206283
12148,146590,24866.65,18114.11,29189458
12149,70448,168.31,143.86,197568
12150,81847,785.37,662.04,921910
12151,108121,412.53,347.63,484241
12153,99897,195.47,166.38,229457
12154,104887,11175.28,8282.15,13118013
12155,66901,125.03,106.87,146776
12156,106453,379.16,324.07,445076
12157,92418,1013.82,865.01,1190096
12158,112544,16179.18,11893.12,18991758
12159,148167,4009.67,3089.88,4706724
12160,92947,187.15,159.96,219667
12164,93767,62.89,53.75,73821
12165,71889,79.98,68.36,93885
12166,75019,187.63,160.37,220250
12167,64472,1780.87,1498.13,2090463
12168,100441,402.65,343.44,472649
12169,77840,70.73,60.45,83020
12170,104397,916.67,780.02,1076040
12172,59462,41.01,35.06,48142
12173,88243,446.89,381.98,524567
12174,76673,196.55,168.0,230722
12175,78627,163.32,139.6,191728
12176,43538,71.88,61.43,84367
12177,88217,108.65,92.86,127533
12180,77815,29282.35,22489.08,34372801
12182,77105,1167.65,997.21,1370683
12183,66515,85.68,72.0,100575
12184,116611,9523.99,7225.92,11179598
12185,110694,380.63,324.87,446798
12186,138171,1382.63,1181.81,1623027
12187,63623,151.56,129.54,177908
12188,97885,1446.55,1234.01,1698091
12189,74872,2535.41,2153.9,2976229
12190,62906,42.48,36.31,49862
12192,99361,405.03,345.62,475453
12193,85791,3523.15,2652.27,4135611
12194,64639,74.24,63.47,87162
12195,116971,18.95,16.2,22249
12196,123127,446.48,381.64,524122
12197,86707,372.13,318.06,436819
12198,104911,922.62,787.84,1082967
12202,59709,1157.91,975.98,1359181
12203,90082,3290.07,2796.24,3861981
12204,78646,1862.04,1571.23,2185716
12205,93282,8350.44,6958.45,9802157
12206,47513,987.46,833.42,1159093
12207,55116,370.54,311.4,434950
12208,86005,1708.26,1458.35,2005216
12209,79188,1011.35,862.25,1187147
12210,66754,334.87,284.49,393062
12211,165694,2021.69,1721.99,2373120
12302,98901,36888.1,27587.82,43300747
12303,92265,6038.62,4875.47,7088428
12304,72452,4425.83,3744.15,5195193
12305,59877,2775.02,2056.84,3257433
12306,84228,19141.7,14944.35,22469402
12307,46522,477.01,404.12,559922
12308,66974,2265.36,1752.37,2659202
12309,129835,10038.18,7836.45,11783222
12401,81751,27605.14,21203.75,32403947
12404,93795,6857.72,5143.4,8049911
12405,68538,139.06,118.16,163217
12406,122933,117.6,99.8,138045
12407,80953,73.06,62.45,85754
12409,125916,429.22,366.84,503793
12410,42050,9.72,8.3,11404
12411,70017,143.31,122.49,168223
12412,69856,563.1,476.15,660987
12413,83253,5300.87,3891.86,6222363
12414,70821,1615.95,1380.21,1896906
12416,97631,39.43,33.7,46289
12417,95789,49.74,42.51,58386
12418,109305,74.08,63.31,86954
12419,142009,175.58,150.08,206123
12420,98668,152.91,130.69,179486
12421,98220,53.23,45.5,62483
12422,75481,105.15,89.88,123433
12423,63372,253.3,215.98,297327
12424,66725,54.11,46.25,63520
12427,152700,101.98,87.16,119705
12428,69416,6542.41,4871.36,7679755
12430,79177,115.3,98.55,135342
12431,93392,3224.07,2396.65,3784538
12432,33461,69.39,59.3,81441
12433,57317,302.85,258.84,355490
12434,50500,6.73,5.75,7897
12435,74139,476.66,402.3,559505
12436,56259,132.63,113.35,155667
12439,55935,52.29,44.7,61391
12440,108865,829.82,709.24,974064
12441,46748,18.14,15.5,21288
12442,49303,246.88,210.49,289775
12443,129936,1041.44,888.15,1222468
12444,91528,243.71,208.3,286075
12446,88605,8494.54,6378.66,9971229
12448,303249,102.5,87.61,120322
12449,86149,1082.21,920.59,1270338
12450,173214,30.05,25.68,35268
12451,68159,256.31,219.07,300875
12452,43523,89.18,76.2,104651
12453,67990,79.61,68.04,93445
12454,94429,29.26,25.01,34348
12455,71719,225.04,191.55,264136
12456,84311,43.03,36.77,50500
12457,107563,352.12,300.96,413339
12458,74786,8086.96,6005.54,9492738
12459,106575,84.48,72.21,99169
12460,90310,52.1,44.54,61171
12461,157319,703.35,599.27,825618
12463,82823,3153.62,2336.44,3701857
12464,71660,62.28,53.24,73116
12465,86327,21.14,18.07,24820
12466,113930,601.12,512.0,705601
12468,79541,122.91,105.05,144274
12469,86515,241.05,206.04,282962
12470,83932,180.25,153.39,211589
12471,20886,118.21,101.04,138771
12472,83795,479.37,407.17,562712
12473,101423,212.62,180.75,249578
12474,116351,109.37,93.49,128391
12475,74412,97.3,83.18,114231
12477,97659,17212.12,13193.03,20204320
12480,115478,63.24,54.06,74237
12481,87965,402.55,344.06,472537
12482,95647,94.33,80.63,110732
12483,98482,61.75,52.77,72468
12484,97932,1512.69,1287.26,1775628
12485,98986,181.91,155.48,213528
12486,87804,436.76,373.29,512648
12487,113483,740.96,632.47,869758
12489,13374,88.87,75.97,104330
12491,96152,459.08,392.37,538869
12492,161459,137.48,117.04,161382
12494,117669,240.5,205.55,282299
12495,77138,83.16,71.08,97622
12496,92967,172.26,147.24,202211
12498,107404,1838.04,1570.52,2157567
12501,82487,370.72,315.28,435190
12502,142016,550.62,470.12,646381
12503,137393,194.64,166.35,228463
12507,96913,33.13,28.31,38881
12508,104908,5563.6,4398.05,6530849
12512,114955,8.54,7.3,10020
12513,53400,350.94,299.47,411974
12514,164475,1002.0,855.92,1176203
12515,99938,486.16,415.55,570690
12516,146469,366.5,312.48,430199
12517,102489,1457.46,1066.2,1710817
12518,113272,1152.09,984.73,1352409
12520,132198,553.52,470.05,649766
12521,117585,836.71,709.26,982192
12522,83391,3214.91,2388.82,3773786
12523,96853,587.33,499.96,689448
12524,102287,5486.23,4326.03,6439973
12525,95367,1913.84,1633.54,2246547
12526,106285,1341.88,1143.22,1575133
12528,99291,3300.5,2819.4,3874344
12529,135509,753.42,643.33,884381
12531,159496,358.88,306.72,421253
12533,157321,13963.31,11029.86,16390913
12534,82210,36491.17,26966.92,42834799
12538,98637,10199.78,7667.85,11972993
12540,148500,4715.2,3731.6,5534895
12542,129095,2214.83,1892.65,2599916
12543,89689,536.65,458.7,629969
12545,142407,3351.47,2520.64,3934109
12546,110465,1076.62,917.4,1263794
12547,122903,3967.87,3031.17,4657648
12548,94378,342.57,291.86,402138
12549,122646,19840.5,14835.26,23289655
12550,89143,20084.66,16240.44,23576256
12553,116778,23325.31,17921.21,27380285
12561,102152,5843.88,4979.11,6859850
12563,113366,4360.13,3360.17,5118130
12564,132064,932.72,797.18,1094832
12565,66166,158.11,135.14,185607
12566,116989,11519.37,8790.09,13521894
12567,116920,1190.28,1010.65,1397177
12569,107396,4507.82,3568.78,5291493
12570,139905,1349.13,1152.44,1583692
12571,139042,5458.52,4352.86,6407496
12572,127850,3871.84,3288.88,4544927
12574,139906,64.31,54.97,75499
12575,151825,7661.9,5660.22,8993869
12577,133352,721.27,616.49,846671
12578,101682,591.22,504.5,694026
12580,133484,1299.46,1110.16,1525406
12581,124958,7739.84,5714.89,9085375
12582,145617,7863.17,5826.83,9230104
12583,100020,927.01,789.48,1088169
12585,119215,234.44,200.39,275203
12586,84751,14242.11,10555.98,16718012
12589,114264,4742.99,4042.99,5567579
12590,115897,12539.45,10062.56,14719403
12592,114218,197.57,168.87,231919
12594,98488,555.66,474.96,652304
12601,86298,10252.46,8027.84,12034723
12603,115310,13286.09,10972.5,15595872
12701,70482,5679.76,4185.04,6667140
12719,103847,113.47,97.0,133195
12721,94795,1818.6,1553.62,2134782
12723,93276,13331.72,9710.38,15649293
12724,163125,112.23,95.9,131710
12725,98235,360.73,304.45,423433
12726,74873,149.46,127.75,175443
12729,81786,596.21,504.47,699864
12732,78454,63.68,54.44,74755
12733,39424,26.68,22.8,31314
12734,63270,153.2,130.44,179844
12736,38074,7.53,6.44,8845
12737,101163,461.85,394.15,542127
12738,62732,15.69,13.42,18417
12740,107499,741.29,632.93,870122
12741,66967,71.32,60.96,83722
12742,64152,6.44,5.5,7554
12743,129879,38.24,32.68,44883
12746,80082,291.56,249.22,342268
12747,102500,151.63,128.99,178001
12748,93180,172.66,147.58,202693
12749,88029,48.6,41.54,57051
12750,58350,75.55,64.57,88677
12752,88362,24.1,20.6,28293
12754,72695,6018.93,4427.79,7065218
12758,73933,583.47,498.7,684908
12759,63887,2847.49,2074.79,3342514
12760,94273,58.38,49.9,68527
12762,62715,89.04,76.1,104515
12763,56574,136.06,116.3,159720
12764,75336,3065.45,2265.26,3598332
12765,87700,131.67,112.54,154555
12766,90887,87.82,75.06,103082
12767,80404,15.28,13.06,17931
12768,76075,141.62,121.03,166222
12769,86862,17.74,15.16,20821
12770,83741,43.93,37.55,51564
12771,73709,6663.44,5156.02,7821763
12775,120096,269.25,230.13,316059
12776,88267,120.62,103.1,141598
12777,165564,315.1,269.31,369872
12778,98338,12.13,10.36,14229
12779,61475,406.95,343.57,477705
12780,80680,4585.63,3384.46,5382783
12781,63782,88.01,75.22,103301
12783,70727,3848.63,2804.27,4517665
12785,99982,88.09,75.3,103416
12786,105151,33.19,28.37,38963
12787,86034,39.78,34.01,46696
12788,109997,232.8,198.04,273264
12789,80633,2826.41,2056.77,3317760
12790,104744,588.88,503.31,691228
12791,71662,100.99,86.31,118538
12792,82903,21.26,18.17,24954
12801,73917,1249.8,1056.16,1467096
12803,77583,2089.13,1765.4,2452327
12804,110633,8001.12,6765.65,9392071
12808,104990,33.46,28.6,39279
12809,69986,696.69,594.89,817820
12810,78836,42.12,36.0,49441
12811,53703,12.4,10.6,14558
12812,145074,56.57,48.35,66403
12814,105080,265.61,227.0,311765
12815,75394,291.47,247.57,342132
12816,78190,1035.63,880.76,1215616
12817,84813,397.3,339.56,466349
12819,96307,22.93,19.6,26919
12821,45003,134.85,113.8,158302
12822,76126,599.16,509.97,703314
12823,97735,103.49,87.6,121483
12824,133883,114.56,97.9,134455
12827,84548,592.84,506.74,695947
12828,89659,2278.07,1927.6,2674107
12831,111453,2561.58,2184.6,3006974
12832,66482,837.0,710.24,982473
12833,141566,636.34,543.88,746954
12834,94789,11110.04,8245.19,13041401
12835,95289,127.11,108.65,149211
12836,92122,119.26,101.94,139997
12837,77215,29.55,25.25,34678
12838,68537,154.39,131.2,181231
12839,66636,989.87,845.52,1161993
12841,76886,13.34,11.4,15657
12842,69581,90.97,77.76,106795
12843,82519,183.05,156.0,214859
12844,161780,42.12,36.0,49443
12845,91916,740.27,626.92,868974
12846,78749,277.56,237.23,325806
12847,87404,58.73,50.2,68945
12849,76531,71.75,60.64,84221
12850,95407,14541.5,10633.94,17069384
12851,96067,38.19,32.65,44841
12852,63785,75.74,64.22,88904
12853,62702,2974.07,2186.56,3491090
12855,65328,10.67,9.12,12525
12856,63382,53.63,45.84,62950
12857,69134,92.9,79.4,109049
12858,137243,43.46,37.15,51023
12859,100505,286.92,245.24,336811
12860,96580,28.08,24.0,32962
12861,92276,39.31,33.6,46145
12863,100912,183.08,156.48,214910
12865,74031,765.23,649.44,898278
12866,116986,13545.09,10801.2,15899529
12870,82946,205.88,175.11,241671
12871,94605,832.38,707.44,977095
12873,94528,155.46,132.87,182492
12874,121932,37.72,32.24,44279
12878,67888,80.38,68.71,94367
12883,76459,322.63,275.07,378721
12884,60374,61.87,52.88,72625
12885,70275,1397.22,1180.79,1640113
12886,103640,24.76,21.16,29061
12887,70678,14247.56,10382.55,16724370
12901,75707,6308.69,4719.88,7405383
12910,60708,32.76,28.0,38455
12912,74252,249.39,212.41,292748
12913,81404,165.44,140.76,194198
12914,62266,1272.1,925.73,1493246
12916,63319,63.53,54.3,74575
12917,68922,7.02,6.0,8240
12918,111101,138.66,118.51,162760
12919,70892,6571.33,4776.52,7713688
12920,81523,57.8,49.4,67846
12921,92921,367.82,313.56,431770
12926,64787,6278.19,4552.9,7369594
12928,77418,273.21,233.51,320703
12929,60689,8.89,7.6,10438
12930,72318,17.78,15.2,20876
12932,79872,182.65,156.12,214414
12934,66074,21.06,18.0,24721
12935,75274,131.31,111.08,154145
12936,80584,245.17,209.03,287785
12937,51971,33.82,28.91,39705
12939,105079,28.08,24.0,32962
12941,82442,204.51,174.79,240048
12942,91780,433.19,370.21,508449
12943,66242,239.45,204.66,281078
12944,82793,276.74,236.54,324863
12945,96489,36.97,31.6,43400
12950,66040,44.59,38.11,52341
12952,86240,9.01,7.7,10575
12953,75545,4410.88,3251.1,5177676
12955,106245,33.67,28.78,39527
12956,48196,308.52,259.7,362148
12957,49623,30.54,26.11,35853
12958,80763,111.73,95.5,131159
12959,62205,16553.22,11996.0,19430830
12960,51494,57.1,48.8,67022
12962,75269,274.65,234.75,322405
12964,116611,11.7,10.0,13734
12965,66499,26.09,22.3,30627
12966,78813,11713.73,8504.04,13750042
12967,87774,54.99,47.0,64550
12969,58820,4.45,3.8,5219
12970,125775,23.05,19.7,27056
12972,97924,365.03,311.98,428477
12973,54354,13.34,11.4,15657
12974,65003,73.81,63.08,86634
12976,81153,46.23,39.5,54249
12979,59099,9.36,8.0,10987
12980,67459,20.59,17.6,24172
12981,71765,146.52,125.22,171978
12983,79740,2586.36,1941.34,3035982
12985,64459,36.86,31.5,43263
12986,75188,71.61,61.2,84052
12987,94595,40.25,34.4,47245
12989,86739,214.96,182.59,252321
12992,87157,222.73,190.36,261440
12993,79932,636.81,542.79,747463
12996,85590,138.37,118.26,162419
12997,89282,141.18,120.67,165728
13020,73513,41.31,35.3,48480
13021,75966,13899.94,10319.77,16316252
13026,96664,5806.93,4245.26,6816414
13027,101226,15621.38,11464.47,18336975
13028,83438,72.88,62.28,85535
13029,99221,450.21,383.56,528484
13030,83893,254.32,217.36,298522
13031,100536,578.87,492.61,679438
13032,73548,38469.84,27964.57,45157448
13033,89349,454.4,386.91,533401
13034,115750,102.83,87.89,120702
13035,122625,1244.67,1058.25,1461007
13036,96033,5809.2,4396.3,6819087
13037,102570,749.35,638.78,879611
13039,108217,7617.87,5611.09,8942155
13040,68491,7091.63,5163.78,8324421
13041,108624,13592.18,10153.47,15955019
13042,87928,140.31,119.92,164697
13044,99058,119.15,101.84,139866
13045,75811,34959.58,25621.09,41036903
13052,78289,118.88,101.6,139531
13053,91084,24678.94,17985.32,28969069
13054,91157,210.18,179.64,246718
13057,81929,3820.53,2898.82,4484686
13060,64908,125.09,106.91,146831
13061,98602,63.5,54.28,74549
13062,159553,10.53,9.0,12360
13063,106077,179.03,153.04,210171
13065,80334,5.85,5.0,6867
13066,145217,7786.31,5750.23,9139884
13068,90042,14836.42,10890.12,17415559
13069,73735,15095.88,11074.92,17720172
13071,84604,63.41,54.19,74429
13072,67328,33.22,28.4,39005
13073,78809,748.73,639.89,878832
13074,72759,449.65,380.04,527807
13076,145965,152.7,130.52,179255
13077,92031,788.65,669.73,925706
13078,124964,3718.41,2820.71,4364791
13080,89702,153.95,131.58,180703
13081,126696,204.82,175.06,240416
13082,82366,240.37,205.47,282169
13083,80850,51.23,43.78,60128
13084,104402,9335.26,6855.8,10958051
13087,140919,23.4,20.0,27468
13088,82013,800.74,676.91,939936
13090,95789,992.59,843.24,1165114
13092,79163,223.53,191.04,262375
13101,63535,138.04,117.99,162040
13103,34283,21.59,18.45,25339
13104,145387,8438.65,6311.45,9905582
13108,100815,415.74,355.34,488000
13110,109903,245.6,209.91,288276
13111,64940,59.78,51.08,70154
13112,98937,262.32,224.21,307930
13113,72386,11.7,10.0,13734
13114,81303,337.54,287.72,396210
13115,85584,31.36,26.8,36807
13116,83702,57.57,49.2,67571
13118,75927,577.72,491.2,678132
13120,82372,177.05,149.62,207832
13122,74654,176.18,150.58,206807
13124,80466,7.55,6.45,8858
13126,77289,8282.32,6312.97,9722134
13131,76907,244.07,207.58,286491
13132,80118,196.73,167.72,230941
13135,86873,507.05,432.7,595185
13140,76177,223.03,189.53,261796
13141,90284,61.03,52.16,71635
13142,92067,10062.22,7343.02,11811438
13143,71569,2915.51,2132.92,3422350
13144,64387,67.37,57.58,79086
13145,55643,8539.45,6198.41,10023935
13146,68412,150.47,127.95,176624
13147,66672,81.55,69.7,95726
13148,71522,13011.38,9505.03,15273256
13152,160110,2687.54,2110.36,3154699
13155,75539,27.27,23.31,32014
13156,77197,279.42,238.82,327991
13157,42107,76.99,65.81,90384
13158,81332,191.67,162.4,224982
13159,114746,15429.41,11380.24,18111644
13160,92599,14324.2,10442.49,16814302
13162,74097,4.68,4.0,5494
13163,76713,8.19,7.0,9614
13164,103329,4664.15,3442.97,5474963
13165,74176,555.82,472.72,652435
13166,80123,456.71,387.34,536103
13167,81454,176.17,150.58,206806
13202,46677,335.36,282.8,393654
13203,60437,82.55,70.04,96896
13204,51604,422.17,355.64,495565
13205,49508,133.31,113.94,156484
13206,66543,355.7,300.18,417521
13207,67472,27.3,23.33,32039
13208,54347,84.79,72.49,99548
13209,70532,694.11,584.03,814774
13210,50848,584.56,494.84,686183
13211,68335,166.51,139.98,195452
13212,79227,7748.53,5717.12,9095519
13214,99944,358.6,304.63,420911
13215,121817,579.04,494.91,679699
13219,93087,240.95,205.44,282848
13224,92482,536.14,458.22,629318
13301,104630,22.7,19.4,26645
13302,61697,92.57,79.12,108658
13303,81059,50.66,43.3,59468
13304,118387,1492.16,1095.87,1751572
13305,56728,9.36,8.0,10987
13308,84371,272.72,232.38,320131
13309,75220,134.88,114.55,158321
13310,76207,29.78,25.45,34953
13313,59034,14.74,12.6,17305
13315,84422,60.38,51.61,70883
13316,69468,6528.26,4786.57,7663134
13317,71286,401.15,342.85,470849
13318,88996,36.67,31.34,43042
13319,61317,16.15,13.8,18953
13320,77676,302.34,258.41,354901
13321,52514,8.89,7.6,10438
13322,94387,35.06,29.96,41150
13323,93269,725.71,618.36,851846
13324,89888,45.63,39.0,53562
13325,76525,108.09,91.57,126882
13326,104068,526.91,449.1,618507
13327,72702,83.45,70.68,97952
13328,95038,73.59,62.9,86380
13329,61377,403.31,342.15,473421
13331,80255,35.39,30.25,41545
13332,74796,295.48,252.56,346856
13334,60795,46.4,39.66,54469
13337,128851,59.49,50.85,69837
13338,64779,76.45,65.34,89737
13339,64861,1301.56,1103.44,1527823
13340,82093,670.85,568.08,787474
13342,72997,29.91,25.56,35104
13343,78582,2842.5,2083.78,3336643
13346,87920,566.63,479.51,665127
13348,90195,81.18,69.38,95287
13350,72287,421.3,358.55,494567
13353,65207,18.02,15.4,21150
13354,91026,353.73,301.56,415225
13355,170016,31.1,26.58,36504
13357,67651,117.6,100.52,138047
13360,96585,7.02,6.0,8240
13361,75969,30.65,26.2,35983
13363,110674,99.19,84.79,116448
13364,73142,11.7,10.0,13734
13365,74632,12952.1,9457.6,15203713
13367,75551,19541.61,14225.48,22938716
13368,60057,35.7,30.0,41906
13402,72100,38.63,33.02,45350
13403,105081,12484.32,9086.22,14654616
13406,75117,77.91,66.6,91468
13407,71621,116.94,99.96,137285
13408,70033,326.62,278.03,383396
13409,64572,204.98,175.18,240591
13410,49576,20.48,17.5,24034
13411,67334,40.41,34.54,47437
13413,119590,749.17,637.56,879423
13415,69527,10.65,9.1,12498
13416,71955,186.16,157.6,218542
13417,58579,64.07,54.76,75210
13418,89955,8.89,7.6,10438
13420,93010,75.99,64.94,89188
13421,75491,14754.94,10744.39,17319928
13424,89966,9136.81,6646.05,10725165
13425,82519,90.79,77.6,106576
13428,66166,103.2,88.22,121148
13431,95411,149.04,127.38,174943
13433,61285,66.06,56.46,77542
13436,84281,30.19,25.8,35434
13437,61439,14.74,12.6,17305
13438,81840,256.35,219.1,300911
13439,70642,241.22,206.18,283159
13440,74111,33548.63,24546.34,39380680
13450,61403,17.55,15.0,20601
13452,67125,14711.48,10716.25,17268951
13454,71412,17.55,15.0,20601
13456,99424,140.63,120.2,165083
13459,70796,2962.8,2176.92,3477846
13460,74988,117.4,100.34,137806
13464,59688,518.12,435.8,608187
13468,56150,23.7,20.26,27819
13469,107033,36.29,31.02,42603
13470,68290,16.15,13.8,18953
13471,70005,7072.79,5147.68,8302320
13472,71262,5.85,5.0,6867
13473,89174,3542.89,2579.39,4158780
13475,121924,71.88,61.43,84367
13476,74077,266.49,227.28,312803
13477,106025,173.06,147.9,203130
13478,80792,253.0,216.24,296985
13480,75967,7192.92,5247.33,8443342
13483,83470,201.16,169.08,236122
13485,70563,17.58,15.03,20639
13486,82873,40.3,34.44,47300
13488,54538,22.93,19.6,26919
13489,65111,11.57,9.89,13583
13490,91783,193.66,163.7,227328
13491,75699,51.48,44.0,60430
13492,95237,317.51,271.4,372723
13493,65551,54.99,47.0,64549
13494,75948,14.93,12.76,17524
13495,68464,85.27,72.88,100088
13501,63032,447.77,382.72,525624
13502,68257,4940.66,3647.32,5799583
13601,71925,30747.27,22575.21,36092393
13605,75920,5875.87,4288.28,6897320
13606,75399,187.35,160.12,219906
13607,125409,476.7,404.31,559564
13608,75547,78.76,66.76,92451
13611,63266,5.85,5.0,6867
13612,66236,83.36,71.25,97856
13613,65978,4.45,3.8,5219
13614,68378,6938.38,5032.8,8144544
13615,93987,41.98,35.88,49278
13616,71044,58.0,49.57,68078
13617,73704,2071.92,1628.7,2432085
13618,74755,391.88,332.71,459987
13619,71337,2790.65,2071.07,3275778
13620,63518,64.08,54.78,75235
13621,75482,17.69,15.13,20773
13622,81566,32072.67,23257.39,37648154
13623,37036,8.89,7.6,10438
13624,94014,35293.02,25673.59,41428280
13625,76860,197.71,168.97,232054
13626,78281,52.65,45.0,61802
13630,64620,103.08,88.11,121010
13633,67781,20.8,17.78,24419
13634,81079,414.66,353.62,486727
13635,64751,48.4,41.36,56804
13636,66426,32.76,28.0,38455
13637,68857,5754.74,4199.38,6755125
13638,60663,24.57,21.0,28842
13640,75038,63.64,54.4,74713
13641,52885,20.77,17.75,24378
13642,57123,6711.47,4924.4,7878191
13646,67161,317.01,270.93,372094
13647,52058,13.57,11.6,15932
13648,64576,102.38,87.5,120172
13650,93775,201.53,172.25,236567
13651,116065,9.06,7.74,10630
13652,68471,257.14,218.97,301848
13654,70791,2867.04,2091.49,3365450
13655,45630,342.84,290.0,402440
13656,70862,338.34,286.71,397170
13658,82057,10537.44,7660.2,12369261
13659,64363,32.01,27.36,37577
13660,79777,16679.64,12101.58,19579238
13661,84227,154.43,131.98,181252
13662,70248,8.78,7.5,10300
13664,76412,99.46,85.0,116738
13665,60118,39.78,34.0,46695
13667,54171,164.89,140.16,193566
13668,84437,171.45,146.53,201245
13669,68344,15768.61,11524.72,18509833
13672,61040,87.2,74.52,102345
13673,69239,12071.94,8772.62,14170514
13676,74110,14310.84,10566.16,16798641
13679,91653,207.64,177.47,243737
13680,63007,118.75,101.5,139400
13682,88022,88.19,74.79,103531
13684,61969,130.82,111.26,153544
13685,83796,99.06,84.65,116257
13687,71035,59.9,51.2,70318
13690,56153,14.74,12.6,17305
13691,79729,71.45,61.06,83860
13692,210670,1.7,1.45,1992
13693,64070,51.62,44.12,60595
13694,82417,148.31,125.9,174084
13695,99672,27.38,23.4,32137
13696,42127,22.93,19.6,26919
13697,96461,108.64,92.86,127534
13730,73691,4695.18,3429.63,5511376
13731,85567,104.52,89.33,122687
13732,99079,336.67,287.76,395195
13733,61558,242.35,207.12,284462
13734,66721,444.92,376.0,522266
13736,84371,269.46,229.79,316296
13739,69872,20.03,17.12,23513
13740,118774,63.32,54.12,74328
13743,74398,8739.79,6412.09,10259097
13744,67502,6765.92,4906.94,7942107
13746,77386,128.74,110.03,151116
13748,70747,5782.01,4221.5,6787170
13750,73024,11.7,10.0,13734
13751,112843,35.33,30.2,41477
13752,84725,30.82,26.34,36176
13753,81857,288.77,245.62,338944
13754,64821,303.63,257.54,356407
13755,59986,25.02,21.38,29362
13756,70892,57.69,49.31,67726
13757,73682,37.2,31.8,43674
13760,76110,5106.81,3823.92,5994552
13775,82637,105.05,89.79,123310
13776,105355,7.02,6.0,8240
13777,92832,24.94,21.32,29280
13778,73542,361.73,306.6,424598
13780,88382,68.06,58.17,79892
13782,80411,62.56,53.04,73436
13783,61131,282.05,238.1,331086
13784,60743,2778.19,2015.55,3261151
13786,63694,45.16,38.6,53013
13787,67196,169.15,144.57,198552
13788,83480,271.51,229.91,318697
13790,65590,457.82,387.89,537413
13795,68422,81.34,69.51,95471
13796,73003,3849.3,2792.46,4518458
13797,74259,86.95,74.32,102070
13801,80491,27.89,23.84,32742
13802,45642,103.14,88.15,121065
13803,73569,20894.41,15166.19,24526719
13804,53308,10.7,9.15,12560
13806,85328,9.36,8.0,10987
13807,86886,167.2,142.15,196251
13808,83988,83.18,71.09,97633
13809,61561,76.25,65.17,89505
13810,93319,31.48,26.9,36945
13811,79966,210.27,179.71,246811
13812,83375,10793.6,7834.26,12669941
13813,77384,64.82,55.4,76086
13815,73017,30694.16,22285.57,36030007
13820,76769,1459.03,1237.56,1712638
13825,68547,249.06,212.87,292358
13827,82356,38143.68,27724.48,44774554
13830,66477,1299.56,975.61,1525479
13832,57783,40.96,35.0,48067
13833,67207,150.06,128.27,176158
13835,70394,138.37,118.26,162417
13838,54862,5973.01,4342.3,7011337
13839,63737,20.95,17.9,24584
13841,79710,362.93,305.17,426013
13842,82529,50.54,43.2,59331
13843,74432,72.44,61.91,85027
13844,66918,4.45,3.8,5219
13846,43830,32.18,27.5,37769
13849,64463,244.58,209.02,287064
13850,109889,1478.49,1252.87,1735443
13856,58257,3272.24,2392.93,3841074
13861,72060,41.42,35.4,48618
13862,69082,448.79,381.64,526795
13864,64355,180.59,154.34,211959
13865,69244,192.46,164.48,225898
